,text,type
14391,все,0
16312,"То, что команда стремится сделать сервис лучше.",2
7734,ok.!,2
960,"Все быстро!
",3
7657,"Все блять улучшить, сайт говно",1
1902,Ты топ 🤩,0
474,Пока не знаю ,2
9210,Возможность установить заставку на видео.,2
5017,стартовая страница говно,1
2289,Быстро,3
1933,быстрота и оперативность,3
6547,"Я вбил 7 класс мне показывает 9класс
",1
12703,тут выпускают передачи раньше чем на тв,3
5199,Звук ,0
14370,Михеев,0
11888,Все ,0
3018,Скорость ,0
15107,мало информации,1
278,"звука нет
",1
12375,Сразу нашла то что искала! ,3
1075,Да всё нормально.,2
7606,все,0
11316,"Приложение для мобильных устройств(IPhone) работает не очень плавно и видео, которое начал смотреть в браузере на ноутбуке, не смог продолжить просмотр в мобильном приложении, оно вообще не воспроизводилось, но другие видео проигрывались.",1
6691,Был такой документ но теперь не могу найти,1
6189,Не грузит ничего,1
8022,Клавиатуру в поисковой строке.,2
4765,Скорость и простота регистрации,3
2817,Отлично ,3
10533,"трёх минутные видео грузятся и едят трафик даже если стоит на паузе. Короткие видео,  до нескольких минут, которые я не хочу смотреть после 10 секунд просмотра, зачем то полностью загружаются. Лимит трафика 100 ГБ у мобильных операторов, почему на ютубе нормально работает, на паузе  не грудится,   и вперёд не так много?",1
7063,нет нужного видео,1
5022,"повтор песни или трека
",2
6252,нету во все тяжкие эдиты идите нахуй рутюб,1
3313,☺️,3
7168,убрать лишнее,1
416,Отличро,3
8207,"Полностью название под видео гораздо удобнее. Так приходится тратить кучу времени на поиск нужного. 
И ещё. Уберите обязанность регистрироваться перед просмотром и комментарием. Пересылать друзьям за рубеж бесполезно. Не разберутся без переводчика рядом. Не плохо было бы иметь возможность титров с переводом. 
В общем вы наделали одних препятствий для своего канала. Больше препятствий-меньше зрителей. ",1
1901,скорость,0
5141,ещё недавно видео зависало.  Нужна уверенность в процессе использования сайта,1
3208,все,0
8762,вы хороши но добавьте просмотр фильмов бесплатно которые уже показывали,1
10807,"Нужно научиться делать управляемую прямую трансляцию. С возможностью остановки, перемотки назад.",1
5320,"Убрать рекламу
",1
8362,ок,2
15356,то что я ищу не пказывает первая страница... зато показывает тонны того что бы я ни когда смотреть даже не стал,1
10964,"Баганый сайт
",1
5394,Убрать рекламу,1
8228,актуальность,0
9914,Задолбала реклама,1
10319,Адрессный ответ.Смайлики-эмодзи в браузере,2
7427,убрать еври дэя,1
10831,"Стрим на сайте не ускорить. Трансляцию не отмотать на начало. Долго загружается видео после окончания трансляции.
",1
3466,!!!! ,0
5665,нет нужных видео,1
574,Хорошо 👍 ,3
15718, Сделайте аналитику удержания аудитории,1
10571,нет,0
8147,ок,2
3049,очень быстро,3
11939,Как меня научили новому ,0
9822,Всё,0
11937,Битва экстрасенсов,0
7289,ytvf yfqqnb jndtn,0
10376,Сделать копию ютуб,1
12913,Ребят вы всё просрали. Пока ютуб не заблокируют шансы очень малы.,1
13880,  трпн76нннрнгшгоьь                ,0
3530,Просто и дружелюбно!!!! Оценка - 5,3
8798,Количество отечественных видео,2
6328,"Порядок, группировка",2
15696,Не понятно не чего.,2
11470,Жизненные проблемы помогают решать,0
16140,"загрузка норм, просмотров нет. Не понятно какую категорию лучше выбирать для видео",1
6510,нету того что я искал,1
1414,Добавить время на отправление кода,1
7533,Всё,0
4490,👍,3
4362,Быстрота,3
10276,"не знаю,но неудобная площадка",1
13953,все,0
8882,класс,3
10495,ня знаю,2
5843,Нет сериала,1
7245,Не то,1
13799,"После окончания рекомендованного видео, следующее видео показывает в рандомной тематике",1
7713,Голосовое коментарий,2
9781,Все работает  быстро,3
4403,"Простота
Быстрота
Элегантность",3
14198,Работа наших ребятушек,0
2865,Invention and intertainment.,0
8099,в строке поиск нет значка клавиатура чтобы набирать мышкой это неудобно посмотрите как на ютубе т сделайте также,1
15715,Не показывает количество рекламных показов,1
80,Не приходил код долго ,1
12932,"- Возможность привязки нескольких каналов на один аккаунт;
- Наличие фонотеки разрешённой музыки;
- Сортировка роликов внутри плейлиста;
- Сортировка плейлистов на гл. странице;
- Больше разделов на главной странице канала (например - популярные видео);
- Наличие обложек у плейлистов;
- Наличие вкладки взаимодействия с подписчиками (проведение опросов, выкладывание новостей канала)",1
11215,меньше рекламы.,1
10033,"очень часто тормозит при просмотре, приходится каждый раз перезагружать.",1
13554,Анятыкр,0
11859,"Стиль платформы, оформление, поддержка контента федеральными каналами",2
10981,"отключить рекламу, прерывать ролики этим дерьмом, зашквар",1
204,Целую неделю невозможно подключиться к Рутуб а раньшебыла отличная связь .,1
4727,Просто!,3
7965,"огонь
",3
6801,Не показывает серию ,1
3976,كل شيئ جميل ,0
9367,Все,0
2076,всё граммотно,3
9236,почему за месяц не начислено ни одного рубля?,2
2720,все леко ,3
1737,быстро,3
89,вылетает постоянно,1
11979,все,0
165,ниче не грузит ,1
14971,ничего,2
15453,"подъвесает.тормозит
о
",1
8715,всё,0
13398,Ещё не готов ответить.,2
8163,Great ,0
3534,"
Все",0
435,чтобы код автоматически заполнялся,2
10343,Медленно работает.,1
9354,Не водится код! и вообще нафига его вводить постоянно?,1
9970,Сменить власть в стране,0
12678,все,0
3486,Буду ждать новости,2
16255,Спасибо. Все хорошо,3
1751,Отлично,3
9001,fast,0
76,"Трудно понять надо попроще одно и тоже я не поимуможет разное афо о ублогеров одинаковое надо недели или цифрыне вошол мне писать месяца а больше я не знаю вошолмне на телевизоре713791 а тут через незнаю телефон вошол по другому клину что прислали
",1
3808,Все очень быстро ,3
114,не загружается сайт,1
14838,РУТУБ КРАСАУЧЕГИ)),3
15146,Да видио не грузится ни какое интернет есть ,1
3643,👍,3
11812,Качество видео,2
1163,Работу интернета,2
2523,"Жаль, что через Gmail не авторизоваться, но через gпочту очень быстро вышло -- супер!",3
999,ой,0
2929,Ок ,2
14615,нахожу что мне нужно ,3
9745,Затрудняюсь ответить,2
6705,"Не грузятся песни Шаман, ""Гимн России, кто-то специально глушит?. Другое можно посмотреть.",1
2657,простота регистрации,3
3109,простота,3
5920,все медлено и не удоно,1
1342,Нямаше възможност за предварително задаване на парола и сега аз трябва да търся такава опция в настройките.,0
3915,"elj,cndj b ,scnhjnf htubcnhfwbb
",0
13536,Д.  Василец,0
4916,Быстро удобно,3
2240,Очень понравилось! ,3
15492,очень плохо организован,1
8895,"Вы топи топ, но исправьте что зависает ",2
15010,ничего интересного там нет,1
15497,пометить просмотренные,1
1107,"Добавление еще одного номера, добавление Email",2
5421,Много рекламы ,1
4375,Легко и быстро. ,3
5782,Точность,0
16399,Всë быстро и качественно,3
3477,Супер!!!,3
15796,Возможность указать нужный период времени.,2
3393,Я люблю шахмоты,0
9656,очень плохо не могу привязать свой телефон другого региона +375 Белажуть,1
4017,Спасибо.  Понравилось все.,3
2683,простота,3
1311,Очень зависает...,1
10580,уменьшить количество рекламы,1
4061,Всё просто,3
10995,убрать рекламу,1
1830,Быстро и просто,3
12875,Как минимум скорость модерации!!!,1
3592,Быстро и просто,3
4920,Доступность,0
10,"сделайте нормальный поиск и индексацию. по запросу фамилии хотя бы известных людей я хочу видеть подборку их видео, полную,  и при этом без перепостов и ссылок на левые каналы со старыми видео, выложенными от других лиц.",1
2878,Быстротой,3
3553,Быстрота и удобство,3
14910,Все,0
7292,"Не видно, где голосование битвы сильнейших ",1
15184,"нет удаления из истории просмотров отдельных видео, а не всех сразу",1
272,"На мой е-мейл ваш код не пришёл припопвтке регистрации, только на телефон вышло ",1
15357,нет возможности сразу составить свой плейлист,1
1512,Стремится быть первым ,2
4012,Почему не загрузиться,1
4358,"Четко, быстро, только зачем вам мои персональные данные- отследить и так сможете, если нужно. Это настораживает, киберпреступлений много, а вы все- же социальная сеть. Делайте более жесткое шифрование, иначе как- то не понятно.ответственности- то после добровольной дачи данных у вас нет, а у пользователя могут быть и взломы и прочие гадости- и ответственность на пользователе.зачем вам наши данные и кому вы их можете выдать- эти конторы конкретно должны быть прописаны. Нынешние законы позволяют за мысли нааазывать- пользователь у вас получает услугу, какую- то одностороннюю оферту без права акцепта. Право выбора- где?",1
4873,👍👍👍,3
3179,Я доволен ,3
10817,"Здравствуйте, можно добавить очередь воспроизведения видео ",1
1893,быстро и понятно,3
11479,"Экстрасенсы. Битва сильнейших
",0
16592,супер,3
5304,Всё,0
8036,чтобы был выбор больше фильмов,2
2906,очень быстро,3
5178,Хорошее разрешение и без задержек,3
14280,Все,0
7542,"не все фильмы есть в свободном доступе
",1
10015,Постоянно зависает ,1
14237,именно это видео я искала,3
10692,"Вы не даете монетизацию,  автором которые делают обзоры на фильмы игнорируя ГК РФ Статья 1274. Свободное использование произведения в информационных, научных, учебных или культурных целях",1
11968,отсутствие рекламы,3
14825,Видео хорошее,3
7420,я забиваю фильм который хочу посмотреть ФИНЛИ а мне дают какую то машинку я очень огорчена ,1
8709,Быстрая регистрация ,3
10559,"Всё, от дизайна до названия ",1
4558,Скорость👍,3
11916,Официальный дубляж мультиков,2
10389,Очень много мб ждёте. Жаль в ютубе нет видосов,1
730,"да норм
",2
9555,Постоянно приходится в него заразить так как мой телевизор Самсунг постоянно вылетает из аккаунта и ещё в приложении нет ускоренного просмотра.,1
13284,"Удобство оформления сразу 5-ти роликов на 1 странице. Единственное что неудобно, это то что после загрузки, готовые ролики в списке идут по порядку обработки\загрузки ,а не по порядку добавления. То есть если у меня первый ролик 3 гб а последний 500 мб, то соответственно последний и загрузился и обработался быстрее первого и в итоге он будет идти в списке потом видео тоже раньше.",2
6731,"все
",0
8137,мало новых серий,1
13074,Всё))),0
13950,п,0
4990,мое денежное состояние,0
6986,Точность выдаваемых результатов,3
557,Пока не знаю,2
618,zver,0
11364,ВСЕ СУПЕР,3
7257,Не нашел что нужно ,1
5491,"ничего не найдено
",1
5513,скорость отклика большая,3
5641,херова всё,1
15398,"Сделайте подгрузку видео как на ютубе, если лаганул интернет, видео не должно останавливаться",1
10988,"Точнее разрезать эфиры,  если это от вас зависит. например на Соловьёв лайф 2-х 3-х - часовые эфиры получаются с куском от предыдущего часа. Ещё были неприятные ситуации с блокировкой выпусков на канале ""канал Фонда Концептуальных Технологий"", даже тогда, когда вражеский ютуб этого не делал!!",1
10003,Убрать пропаганду войны ,1
11350,то что нет рекламы,3
15585,Ток шоу,0
8502,Пока нравится,3
6041,много второстепенного ненужного ,1
10460,Не хватает последовательности серий ,1
13689,всё,0
15015,политика,0
10412,Реклама очень много рекламы !!! Реклама! РЕКЛАМА,1
10251,"при просмотре видео перестаёт обновляться антивирус доктор веб, постоянно лагает, просмотр мучителен",1
8240,"в настройках поиска  по времени публикации
",2
12354,ШОУ ПАШИ ВОЛИ ХОРОШЕЕ СТАБИЛЬНОЕ И ИНТЕРЕСНОЕ  ПАША ВОЛЯ И СОБОЛЕВ ХОРОШИЙ КОНТЕНТ    ЛИГА ГОРОДОВ  ЖДЕМ ВСЕВРЕМЯ ВЫПУСКИ ....И КОНФЕТКУ  СМОТРЕЛИ ....,0
1674,Легкость регистрации,3
5511,Поис других каналов тв,2
8584,Всё нравится,3
3085,Скорость,0
16206,уже лучше,2
15766,Указывать возраст и пол зрителя,2
2630,Нравится чтение акафистов,3
11551,Экстрасенсы это битва сильнейших.,0
11849,Всё что  нужно можно найти и посмотреть!!!,3
5150,Убрать рекламу ,1
981,Это же не вафельница мультимейкер. А освещена только одна функция из трёх :-(((,0
14653,КАЙФ,3
2782,"краткость и простота
",3
1605,МБОУ НОВОПАВЛОВСКАЯ СОШ АКБУЛАКСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ,0
12960,"- Возможность привязки нескольких каналов на один аккаунт;
- Наличие фонотеки разрешённой музыки;
- Сортировка роликов внутри плейлиста;
- Сортировка плейлистов на гл. странице;
- Больше разделов на главной странице канала (например - популярные видео);
- Наличие обложек у плейлистов;
- Наличие вкладки взаимодействия с подписчиками (проведение опросов, выкладывание новостей канала)",1
16615,"Сделать их быстрее и не багованными, а то кто-то видит их, а кто-то нет",1
15635,Всё!,0
12828,Достунсость ,0
10935,задолбался переподписываться,1
448,Ок,2
10039,Дизайн,0
1246,всё устраивает,2
12099,Качество видео,2
6061,Нет полной версии сезонов фильма ведьмак,1
1360,Делать все оперативнее,1
14504,зщл0огрлтэь9ш г ш о р,0
10709,"Алгоритмы поиска, дизайн",2
1542,Нормально ,2
7099,не найдешь,0
6143,гавно,1
202,Данные ,0
5292,Надо улучшить дизайн потому что у меня ничего не получилось вот Приходи сам ко мне и вот можешь мне всё исправить,1
1638,Скорость,0
15420,каждый раз вбивать пароль,1
7380,Слово пацана добавьте!!@,1
13882,рутуб,1
990,"легко и просто, номер телефона, код регистрации и все, отлично.
",3
15804,"Удобно, но несмотря на большое количество просмотров рекламы совсем нет на видео. ",2
6888,Нет полной версии ,1
15317,фильмы,0
8476,Круто,3
9744,Хорошо,3
12499,Нет рекламы ,3
14777,Содержание ролика,2
2525,супер,3
15179,"Не возможности удалить видео из истории просмотра, как в YouTube/",1
7348,"на русские автомобили и мультики автомастерская
",0
6103,Нет новых выпусков ,1
984,Всегда есть куда развиваться.:⁠-⁠),2
3678,Все отлично!,3
6364,Очень медленно работает весь сайт в принципе...,1
8407,огонь всем советую давно пора пендосов нагибать ,3
6619,очень трудно найти и вообще Где прямые трансляции? навигация отвратительная!,1
4756,КЛАСС,3
761,"Все отлично, спасибо1",3
2789,Быстро очень,3
5549,Не находит,1
13861,Почему,0
6976,Все полностью.  На ютубе все быстрее находить и полностью а здесь с этим проблемы ,1
3106,Скорость регистрации ,2
14129,Удалить рекламу.,1
4140,Спасибочки,3
10509,производительность видео - часто зависает и выдает ошибку воспроизведения,1
15662,удобно,3
6752,Медленно работает,1
2943,все быстро,3
4095,Отлично,3
951,Дизайн,0
15206,Нет автовоспроизведения видео по очереди как в ютубе.,1
2882,Скорость,0
1628,Good ,0
5144,"В некоторых местах камера не показывает последующие шаги, приходится самим догадываться как продолжается работа.",1
9177,Просто развивайтесь.,3
6427,вернуть старые папины дочки ,1
3983,"Быстро, супер",3
904,хотел по телефону,0
8448,Ок,2
12391,Всё,0
8863,Все,0
13115,ВСЁ!!!,0
10536,slow,0
9051,ЗДЕЛАЙТЕ РАВНОМЕРНЫЙ ЗВУК В РЕКЛАММАХ И УКРОТИТЕ ЕЁ,1
12927,"систему рекомендаций! мои видео никто не видит кроме подписчиков которые пришли с ютуба, вы ничего не смогли сделать за 2 года ! ничего! всех вас уволить а лучше под вышку подвести за предтельство",1
12754,"Быстрый выход видио,, сразу после показа на тв",3
8082,Не фильтрует нормально по дате и размеру,1
8498,"Харашо Вери Гут 

",3
891,много рекламы,1
7550,Нет всех видео из курса ,1
1010,ок!,2
7423,"шлак, реклама за рекламой",1
10352," Возможность быть постоянно зарегистрированным (вылетает регистрация и приходится входить.
",1
6340,ваыуаав,0
13210,"Наша платформа, не вражеская!",3
6829,Не нашла залетай в тренды,1
12145,все,0
16319,Все очень быстро!,3
5816,Приложение гавно ,1
12070,Круто ,3
8290,Все,0
299,Много лишнего,1
9096,сайт просто огонь. никогда не тормозит и качество на высшем уровне!,3
11674,"Свежие новости. Хорошее изложение, карты, видео.",3
14287,Да,0
13655,Лучшие из лучших! Зарина Николаевна вы руководитель высшего класса! Удачи вам! Так держать! Осетия впереди!!!,0
7501,"Ужас , не ищет ",1
3485,простота,3
13531,Порно,0
13347,ты лох,0
11050,не знаю,2
3309,Скорость и простота ,3
5283,добавить возможность отключить автовоспроизведение видео при открытии вкладки. с несколькими открытыми вкладками - это какой-то ад,1
2640,"Можно залогиниться через ВК, очень удобно ",3
3955,Всё ужасно.,1
9173,рекомендации,0
14030,Качество ,0
10235,нужно транслировать в hd,1
8904,"Сссс
",0
9743,Ничего,2
2526,я кайфанула и кончила,0
15209,"замучали секретностью, и до удобств ютуба очень далеко
Надежда только на санкции",1
6837,ниче нет,1
4883,1,0
1315,👍,3
14417,Райдерс,0
5804,поиск,0
12959,поиск видео,2
10438,свежесть ассортимент информации,2
830,"Моё настроение)) в остальном, ок",2
6854,почему мой пароль не проходит? что памяти нет ?,2
3225,Все,0
16494,"Простота и удобство вашей соц. сети!
",3
5164,Я хз,2
6821,Где битва экстрасенсов ,2
1235,сделать ее оригинальнее,1
2708,скорость простота,3
5051,Рекламу убрать,1
15105,Говно,1
8301,...,0
10304,количество рекламы и облегчить поиск официальных каналов ,1
15060,Сервис у вас говно,1
12247,Ваш комментарий,0
15386,интерфейс какой-то странный,1
4350,Прикольно,3
3526, быстро,3
7263,"Не удобен поиск. Ищу самые первые серии  обычной битвы, не сильнейших, и не могу найти",1
13198,Норм),2
9165,нужно добавить теги к видео. непонятен алгоритм поиска,1
12770,качество на +,3
1041,Отлично ,3
16043,Модерация долгая.,1
12470,"ОН - РУССКИЙ, НАШ!",3
3413,10,0
11252,Шрифт чуть покрупнее ,1
12195,экстрасенсы,0
9795,офигенно,3
7952,скорость интернета,2
7570,показывать канал ,2
1941,Доступность,0
304,я не успеваю зайти за кодом подтверждения на mail.ru,1
11648,"Саня во флориде
На ",0
13213,Мне нравиться рутубе.,3
2457,👍,3
5606,У вас нет зарубежных телесериалов ,1
9528,Подключение устройств,2
13873,поиск неудобный,1
5674,"Говно

",1
15281,Перевод музики на русский язык,2
1043,Не знаю ,2
10119,скорость загрузки видео и кнопка просмотр на тв ,2
13062,НАБЛЮДЕНИЕ,0
3037,Быстро,3
3759,скорость,0
12449,Всё,0
2616,Очень круто,3
1007,если у меня есть регистрация то довольна,2
5898,В Ютубе больше видео!!!!,1
11581,Все работает отлично удобно ,3
12709,"Сергей Пенкин 
прекрасно исполнил  Вальс -бостон вместе с автором- Александром Розенбаумом. И комментарий Александра Розенбаума к песне,исполненой  Ваенгой !!!",0
4380,Быстро 🚀⚡,3
14309,ВСЁ МНЕ НРАВИТСЯ  АОАОАОАОАОААОАОАОА,3
12414,Всё,0
3948,все доступно,3
12405,Битва экстрасенсов,0
2477, Отлично,3
10041,Прямые трансляции.,2
7795,"Нужно систематизировать даты, чтобы легко можно было найти определенное шоу по дате, например. Например, щас мне хочется послушать последнее шоу соловьева ‘полный контакт’, и наверняка оно было недавно, но первым мне выпадает шоу, датированное 20 июня 2023 — вы серьезно?!",1
9862,Все,0
6839,Всю систему поиска.,2
12632,Широкий выбор контента,3
7313,"Всё
",0
13806,Cay,0
13980,сколько вешать в граммах?,0
5069,Подумаем,2
689,Всё норм,2
10248,"все
",0
10574,В 7:55 во всех сериях лагает исправьте пж,1
4816,Здорово,3
15380,"не обновляется
",1
626,Хорошо,3
14475,класс,3
3871,Всё легко и быстро.,3
16311,Быстрота загрузки,3
3095,"Авиация моё увлечение с детства
",0
16267,Быстроту модерации,3
16076,Скорость модерации очень медленная,1
15825,аналитику,0
1463,Пока ничего. ,2
14367,Благодарю понравилось все ,3
759,Хорошо,3
5177,Рекламные модули сократить,1
11959,Vse,0
11321,"Все
",0
15840,"Не хватает информации показов и по этим показам просмотрам. Насколько интересен ролик. Также необходима информация об аудиомузыке без авторских прав, которую  можно использовать в роликах, или же с авторскими правами, но с разделением монетизации за использование музыки с авторскими правами, к примеру 20% автору музыки, 80% автору контента. Все от этого будут в плюсе. Автор аудиозаписи, автор ролика и Вы, поскольку это увеличит красочность роликов, насыщенность и поднимет рейтинг просмотров.",1
3511,Можно выбрать способ подтверждения,2
12946,"Зарегистрировался, создал канал, загрузи",2
9749,Добавить использование в одной программе нескольких аккаунтов (для семьи). Чтобы можно было переключаться между ними одним нажатием в программе.,1
11178,"Если опоздал на стрим, нет возможности его смотреть на ускоренной скорости, что бы его догнать.((( ",1
7799,убрать рекламу из мультиков,1
16411,всё,0
6749,Хавно,1
16233,Поставить на загрузку и выйти из приложения,2
9132,"бордак
",1
5950,"Херь


",1
13340,Х,0
5358,Показать серию снова,2
15874,"Сделайте так, чтобы можно было управлять каналом с приложения. ",1
